epochs,batch_size,learning_rate,lambda_weight,loss_function,ari,hvg,asw,f1,nmi,sil,graph,pcr,sil_batch,avg_bio,avg_batch,time
40,128,1e-05,0.4,log,0.5997772828244187,0.29825,0.76125383,0.9807692307692307,0.8311883503369909,0.63586384,0.8210338355458149,0.29738153206013573,0.8454256,0.6845170897135632,0.6546136577932922,825.437249660492
40,128,1e-05,0.4,uniform,0.5997772828244187,0.25325,0.7377784,0.9783132530120482,0.8311883503369909,0.6883721,0.8489633514048447,0.3718640294324988,0.8478192,0.6814465644913069,0.6895488633120532,844.0100491046906
40,256,0.0001,0.4,log,0.5997772828244187,0.23875000000000002,0.75485885,0.9583333333333334,0.8311883503369909,0.6844233,0.9442692917355153,0.47621521872198624,0.8311431,0.6778885242289213,0.7505425305485679,542.3756251335144
40,256,0.0001,0.4,uniform,0.5997772828244187,0.197,0.78083616,0.9856459330143541,0.8311883503369909,0.70968497,0.9264487645913249,0.4240439965202761,0.8190161,0.6840221165202963,0.7231696200292453,551.0762574672699
40,256,1e-05,0.4,log,0.5997772828244187,0.32875,0.752077,0.9771359807460891,0.8311883503369909,0.61076826,0.8206900252854427,0.2618479628294048,0.84635925,0.6832828093218278,0.642965747014845,541.1103110313416
40,256,1e-05,0.4,uniform,0.5997772828244187,0.261125,0.7193793,0.9758454106280193,0.8311883503369909,0.66012824,0.8400073767417566,0.3735147959964216,0.8529326,0.6745739309076538,0.6888182483676618,553.8405752182007
40,512,0.0001,0.4,log,0.5997772828244187,0.26837500000000003,0.77579916,0.9844311377245509,0.8311883503369909,0.6741835,0.8464530587767439,0.40810427234142765,0.8356846,0.6889590690022338,0.6967473095367965,402.6982259750366
40,512,0.0001,0.4,uniform,0.5997772828244187,0.23912500000000003,0.75783956,0.9832134292565947,0.8311883503369909,0.7145847,0.8857210068245172,0.45888865285375896,0.83593816,0.6876213885234231,0.7268492717764562,402.3358726501465
40,512,1e-05,0.4,log,0.5997772828244187,0.34375,0.7454728,0.9067688378033205,0.8311883503369909,0.59311783,0.8191925080910278,0.25783700704318613,0.8473006,0.6700125154854953,0.6414433680729464,400.9766092300415
40,512,1e-05,0.4,uniform,0.5997772828244187,0.27549999999999997,0.7014789,0.8969072164948454,0.8311883503369909,0.63523483,0.8383722456438759,0.3631553237455776,0.85488313,0.6566810968241942,0.685470234584845,405.93960070610046
40,1024,0.0001,0.4,log,0.5997772828244187,0.277875,0.7638718,0.9783132530120482,0.8311883503369909,0.6322651,0.8155701824423817,0.27420897986466075,0.8348871,0.6805484610157363,0.6415554165507219,324.0359172821045
40,1024,0.0001,0.4,uniform,0.5997772828244187,0.267875,0.7480862,0.9807692307692307,0.8311883503369909,0.70329535,0.8868505094622262,0.40225328463906734,0.83480775,0.68849857134516,0.7079705158880736,326.5343008041382
40,1024,1e-05,0.4,log,0.5997772828244187,0.349375,0.73612463,0.8857142857142857,0.8311883503369909,0.57886004,0.8186364479100423,0.24841705213332022,0.8478839,0.6635065996829671,0.6383124600605866,330.86476707458496
40,1024,1e-05,0.4,uniform,0.5997772828244187,0.28150000000000003,0.6868495,0.8819714656290532,0.8311883503369909,0.6167708,0.8235450825421937,0.3576194734258818,0.8551487,0.6496762296042932,0.6787710763418772,335.2124390602112
